flow_id,timestamp,source,destination,probability_score,interpretation
CASE-SCAN-01,2026-08-15 00:18:00,10.14.7.23,10.20.5.12,1.0,Very high-scoring flow consistent with internal discovery/probing activity identified in firewall evidence.
CASE-SCAN-05,2026-08-15 00:18:28,10.14.7.23,10.20.3.50,1.0,Very high-scoring flow consistent with internal discovery/probing activity identified in firewall evidence.
CASE-SCAN-06,2026-08-15 01:18:35,10.14.7.23,10.20.2.15,1.0,Very high-scoring flow consistent with internal discovery/probing activity identified in firewall evidence.
CASE-SCAN-02,2026-08-15 02:18:07,10.14.7.23,10.20.8.20,1.0,Very high-scoring flow consistent with internal discovery/probing activity identified in firewall evidence.
CASE-SCAN-03,2026-08-15 02:18:14,10.14.7.23,10.20.9.10,1.0,Very high-scoring flow consistent with internal discovery/probing activity identified in firewall evidence.
CASE-SCAN-04,2026-08-15 02:18:21,10.14.7.23,10.20.1.10,1.0,Very high-scoring flow consistent with internal discovery/probing activity identified in firewall evidence.
INV00102,2026-08-11 04:49:45,10.14.7.23,13.107.6.156,0.8344269850326967,"High-scoring model result requiring correlation with authentication, DNS and firewall evidence before classification."
INV00137,2026-08-16 12:26:03,10.14.7.23,44.236.72.93,0.8344269850326967,"High-scoring model result requiring correlation with authentication, DNS and firewall evidence before classification."
INV00138,2026-08-11 04:53:30,10.14.7.23,44.236.72.93,0.8344269850326967,"High-scoring model result requiring correlation with authentication, DNS and firewall evidence before classification."
INV00017,2026-08-10 22:49:05,10.14.9.18,20.112.52.29,0.8344269850326967,"High-scoring model result requiring correlation with authentication, DNS and firewall evidence before classification."
